word,id,date,text,author_id,term_meaning,term_category,usage_context,is_ironic,annotation_notes
BFFL,7309374719,2010-01-02,Talking to my BFFL Duece....awww I miss him need to make a trip to the 757 to see him,24724978,"""Best Friend For Life""; a very close lifelong friend",social,casual_conversation,false,
BFFL,7309797169,2010-01-02,Ok me and brother bear friends again he gave me a coca cola :) bffl,88087204,"""Best Friend For Life""; a very close lifelong friend",social,casual_conversation,false,
BFFL,7310034309,2010-01-02,"oh dear god, some girl in my brothers year who i've spoken to twice, literally, has just tagged me in a 'bffl' photo on facey b, cringe!",56106728,"""Best Friend For Life""; a very close lifelong friend",social,casual_conversation,false,
BFFL,7310096813,2010-01-02,Rt @FlashinG7LightS: Maybe one day my socks will match... http://moby.to/xqt780 - I hate them ones on ya right foot bffL ;; yuck !,47349204,"""Best Friend For Life""; a very close lifelong friend",social,casual_conversation,false,
BFFL,7310123266,2010-01-02,I might be convinced that demi lovato should be my BFFL. Um. FML? @lol_Sandy WHY ARE YOU FRIENDS WITH ME.,85479869,"""Best Friend For Life""; a very close lifelong friend",social,casual_conversation,false,Social review override: celebrity_gossip | Darwin audit: casual_conversation
BFFL,7310370566,2010-01-02,"Ughhh!! Because stupid stupid stupid fan girls started screaming, @nickjonas went inside HOB! And my bffl didn't meet him! :/ ugh! FTP",17078570,"""Best Friend For Life""; a very close lifelong friend",social,casual_conversation,false,Social review override: celebrity_gossip | Darwin audit: casual_conversation
BFFL,7310798888,2010-01-02,I'm cool enough for both of us. RT @jfc_kat I might be convinced that demi lovato should be my BFFL. Um. FML? @lol_Sandy WHY ARE YOU FRI ...,52630170,"""Best Friend For Life""; a very close lifelong friend",social,celebrity_gossip,false,
BFFL,7310892434,2010-01-02,Awwwww Congrats to my BFFL Duece he's gonna be a daddy!!!!,24724978,"""Best Friend For Life""; a very close lifelong friend",social,compliment,false,
BFFL,7311022430,2010-01-02,@Kash_is_in ur like Super Late Bffl,26300576,"""Best Friend For Life""; a very close lifelong friend",social,casual_conversation,false,
BFFL,7311108621,2010-01-02,"RT @candicewiggins: S/o 2Melanie Murphy @melmel0, she killin rite now! Thyre shown so much luv on the radio Mel!u kno Im proud :)&lt; go bffl!",28015200,"""Best Friend For Life""; a very close lifelong friend",social,casual_conversation,false,
BFFL,7658798651,2010-01-12,RT @TiFFy_BabII: Happy 21st to my bffl @LaDii_LauRa love ya (thanks ily2),27822566,"""Best Friend For Life""; a very close lifelong friend",social,casual_conversation,false,
BFFL,7658961708,2010-01-12,OMFGOMFGOMFGOMFGOMFGOMFG. EPIC NEWS IS EPIC. But I need to tell my BFFL first. & not on Twitter. Be patient little ones.,20482868,"""Best Friend For Life""; a very close lifelong friend",social,casual_conversation,false,
BFFL,7659207732,2010-01-12,@ozmusiq Hell no. I like him as my BFFL & I'd like it to stay that way!,20482868,"""Best Friend For Life""; a very close lifelong friend",social,casual_conversation,false,
